tag_id,tag_column_name,comment,language_id
fusion,analysis_tag,form exhibits fusion (morphophonology) in (at least) one of the morphemes,komsaikul
mult_exponence,analysis_tag,form has one category marked multiple times (multiple exponence),komsaikul
variable_order,analysis_tag,form contains morphemes that can variably order,komsaikul
elicited,epistemic_tag,form was provided by native speaker in elicitation,komsaikul
generated,epistemic_tag,form was generated by linguist and accepted by native speaker,komsaikul
optional_future,overabundance_tag,form does not contain a marker for future tense (that is there in other forms with the same scenario),komsaikul
optional_plural,overabundance_tag,form does not contain a marker for plural (that is there in other forms with the same scenario),komsaikul
dialect_var,variants_tag,form is from other dialect,komsaikul
formal,variants_tag,form is used in formal contexts,komsaikul
informal,variants_tag,form is informal/colloquial,komsaikul
sociolect_var,variants_tag,form is from other sociolect,komsaikul
unspecified,variants_tag,form is not used in special contexts,komsaikul
